road_id,unique_key,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp
66910171_road,66910171,Jackie Robinson/Interboro Pkwy,Westbound,End Jackie Robinson Pkwy Westbound,Ramp
66908791_road,66908791,A,A Downtown & Brooklyn,Platform,
66908968_road,66908968,BQE/Gowanus Expwy,West/Brooklyn Bound,Northern Blvd (NY 25A) (Exit 41),Ramp
66910360_road,66910360,Belt Pkwy,East/Queens Bound,Entrance Belt Pkwy,Ramp
66913066_road,66913066,3,3 Downtown & Brooklyn,Platform,
66917249_road,66917249,Belt Pkwy,West/Brooklyn Bound,No Conduit Ave. (NY27) (Exit 17W) - Cohancy St Cross Bay Blvd (Exit 17N),Roadway
66907471_road,66907471,Belt Pkwy,West/Brooklyn Bound,Kennedy Airport JFK Expwy (Exit 20) - Van Wyck Expwy Whitestone Br (I-678) (Exit 19),Roadway
66908797_road,66908797,J,Unspecified,Mezzanine,
66913255_road,66913255,West Shore Expwy,Southbound/To OuterBr Cr,Bloomingdale Rd (Exit 3) - Englewood Ave (Exit 3A),Roadway
66911570_road,66911570,A,Unspecified,Stairway,
66914463_road,66914463,A,Unspecified,Stairway,
66910196_road,66910196,3,3 Downtown & Brooklyn,Platform,
66907629_road,66907629,Van Wyck Expwy,North/Bronx Bound,Linden Blvd (Exit 3),Ramp
66913065_road,66913065,1,Unspecified,Platform,
66917446_road,66917446,Long Island Expwy,East/Long Island Bound,Brooklyn-Queens Expwy Staten Island Bronx (I-278) (Exit 17 E-W),Ramp
66911584_road,66911584,J,Unspecified,Mezzanine,
66914298_road,66914298,Belt Pkwy,West/Brooklyn Bound,No Conduit Ave 225 St (NY27) (Exit 23A) - Springfield Blvd. (Exit 22),Roadway
66915822_road,66915822,1,Unspecified,Stairway,
66913075_road,66913075,Q,Unspecified,Entrance,
66913067_road,66913067,2,Unspecified,Platform,
66913068_road,66913068,R,Unspecified,Stairway,
66917444_road,66917444,Richmond Pkwy/Korean War Vets,South/New Jersey Bound,Arden Ave - Huguenot Ave Foster Rd,Roadway
66913074_road,66913074,7,Unspecified,Mezzanine,
66910201_road,66910201,7,Unspecified,Mezzanine,
66913073_road,66913073,C,Unspecified,Platform,
66914481_road,66914481,1,Unspecified,Platform,
66917276_road,66917276,C,B C Downtown & Brooklyn,Platform,
66907725_road,66907725,Hutchinson River Pkwy,South/Queens Bound,Westchester Ave E Tremont Ave (Exit 2) - Bruckner Blvd  to Cross Bx Expwy Bruckner Expwy (Exit 1),Roadway
66915843_road,66915843,1,1 Downtown,Platform,
66910199_road,66910199,6,Unspecified,Passageway,
66915823_road,66915823,A,A to 207 St,Platform,
66910197_road,66910197,C,B C Downtown & Brooklyn,Platform,
66915824_road,66915824,A,A to 207 St,Platform,
66907481_road,66907481,Q,Unspecified,Entrance,E 86 St & 2 Av
66917261_road,66917261,J,Unspecified,Entrance,Essex St & Delancey St South side
66911583_road,66911583,R,Unspecified,Platform,
66910198_road,66910198,E,Unspecified,Stairway,
66914480_road,66914480,1,1 Uptown & The Bronx,Platform,
66915841_road,66915841,1,1 Local Uptown & The Bronx,Platform,
66908790_road,66908790,D,B D Downtown & Brooklyn lower level,Platform,
66908789_road,66908789,3,3 to Harlem - 148 St,Platform,
66914487_road,66914487,1,Unspecified,Stairway,
66908775_road,66908775,E,C E Uptown - Queens,Platform,
66913050_road,66913050,1,1 Uptown & The Bronx,Platform,
66914475_road,66914475,1,Unspecified,Mezzanine,
66904606_road,66904606,R,Unspecified,Mezzanine,
66903129_road,66903129,J,Unspecified,Entrance,Essex St & Delancey St South side
66898824_road,66898824,R,Unspecified,Mezzanine,
66900267_road,66900267,Long Island Expwy,West/Manhattan Bound,Van Dam St (Exit 15) - Queens Midtown Tunnel,Roadway
66900272_road,66900272,J,Unspecified,Mezzanine,
66897325_road,66897325,L,Unspecified,Passageway,
66904592_road,66904592,J,Unspecified,Entrance,Essex St & Delancey St South side
66897305_road,66897305,F,F platform,Platform,
66904610_road,66904610,J,Unspecified,Mezzanine,
66901689_road,66901689,R,Unspecified,Entrance,
66906034_road,66906034,Q,Unspecified,Entrance,
66897512_road,66897512,Williamsburg Br,Manhattan Bound,Bikepath,Roadway
66895897_road,66895897,7,Unspecified,Mezzanine,
66897306_road,66897306,C,Unspecified,Platform,
66904609_road,66904609,7,Unspecified,Mezzanine,
66904611_road,66904611,F,Unspecified,Passageway,
66900273_road,66900273,6,Unspecified,Entrance,E 86 St & Lexington Av to Uptown & The B
66895898_road,66895898,Q,Unspecified,Entrance,E 83 St & 2 Av
66904694_road,66904694,FDR Dr,Southbound/Downtown,Battery Pk Staten Is Ferry (Exit 1) - Battery Park Underpass,Roadway
66904589_road,66904589,C,B C Downtown & Brooklyn,Platform,
66903141_road,66903141,1,Unspecified,Other,
66903375_road,66903375,Bruckner Expwy,North/Eastbound,Bronx River Pkwy (Exit 52) - Sheridan Expwy E 177 St (Exit 49),Roadway
66898822_road,66898822,D,Unspecified,Mezzanine,
66903143_road,66903143,6,Unspecified,Entrance,
66900258_road,66900258,C,Unspecified,Platform,
66900271_road,66900271,D,Unspecified,Mezzanine,
66897321_road,66897321,B,Unspecified,Stairway,
66903140_road,66903140,Q,Unspecified,Other,
66897320_road,66897320,F,Unspecified,Mezzanine,
66900051_road,66900051,Long Island Expwy,East/Long Island Bound,Kissena Blvd (Exit 24) - Utopia 188 St Pkwy (Exit 25),Roadway
66897509_road,66897509,Long Island Expwy,East/Long Island Bound,Brooklyn-Queens Expwy (I-278) (Exit 17 E-W) - Queens Blvd (NY 25) / Woodhaven Blvd (Exit 19),Roadway
66900510_road,66900510,Bruckner Expwy,North/Eastbound,Bronx River Pkwy (Exit 52) - Sheridan Expwy E 177 St (Exit 49),Roadway
66904590_road,66904590,F,Unspecified,Passageway,
66901687_road,66901687,F,F M Downtown & Brooklyn,Platform,
66900259_road,66900259,D,B D F M Uptown & The Bronx - Queens,Platform,
66903144_road,66903144,L,L to Brooklyn,Platform,
66897323_road,66897323,J,Unspecified,Mezzanine,
66901709_road,66901709,B,Unspecified,Other,
66901789_road,66901789,Van Wyck Expwy,South/JFK Airport Bound,College Pt Blvd L I Expwy Eastern L I (Exit 12A) - Long Is Expwy Midtown Tun (I-495) (Exit 12B),Roadway
66903146_road,66903146,R,R to Manhattan,Platform,
66903145_road,66903145,1,Unspecified,Stairway,
66898820_road,66898820,4,Unspecified,Entrance,"Grand Central Terminal, Metro-North, 42"
66906032_road,66906032,B,Unspecified,Platform,
66904605_road,66904605,1,1 Uptown & The Bronx,Platform,
66898921_road,66898921,Van Wyck Expwy,North/Bronx Bound,Rockaway Blvd (Exit 2) - Linden Blvd (Exit 3),Roadway
66904693_road,66904693,Van Wyck Expwy,North/Bronx Bound,Entrance Van Wyck Expwy,Ramp
66895896_road,66895896,A,A C platform,Platform,
66903147_road,66903147,Q,Unspecified,Passageway,
66897319_road,66897319,B,Unspecified,Entrance,Yankee Stadium & E 161 St / Court House
66904881_road,66904881,Hutchinson River Pkwy,South/Queens Bound,Westchester Ave E Tremont Ave (Exit 2) - Bruckner Blvd  to Cross Bx Expwy Bruckner Expwy (Exit 1),Roadway
66897508_road,66897508,Major Deegan Expwy,South/Toward Triborough Br,I95/US 1 South G Washington Br Trenton/I95 US 1 North Cr Bronx Expwy - New Haven (Exit 7 N-S) E 153,Roadway
66904591_road,66904591,1,1 Downtown,Platform,
66900274_road,66900274,N,Unspecified,Entrance,E 60 St & 3 Av
66901872_road,66901872,Long Island Expwy,East/Long Island Bound,108 St (Exit 21) - Grand Central Pkwy / Van Wyck Expwy (Exit 22 A-E),Roadway
66898821_road,66898821,6,6 Downtown & Brooklyn upper level,Platform,
66898823_road,66898823,6,6 Downtown & Brooklyn upper level,Platform,
66901531_road,66901531,Long Island Expwy,West/Manhattan Bound,Junction Blvd (Exit 20) - Queens Blvd (NY 25) / Woodhaven Blvd (Exit 19),Roadway
66904588_road,66904588,J,Unspecified,Platform,
66898809_road,66898809,J,J M Z to Brooklyn,Platform,
