road_id,unique_key,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp
66861569_road,66861569,BQE/Gowanus Expwy,West/Brooklyn Bound,Queens Blvd 58 St (NY 25) (Exit 39E) - Long Island Expwy (I-495)/Midtown Tunnel Eastern Long Is/Gree,Roadway
66862975_road,66862975,L,Unspecified,Entrance,
66866099_road,66866099,2,Unspecified,Entrance,Duffiled St & Fulton St
66862963_road,66862963,E,Unspecified,Platform,
66866104_road,66866104,R,Unspecified,Other,
66862974_road,66862974,2,2 3 Downtown & Brooklyn,Platform,
66864553_road,66864553,C,Unspecified,Platform,
66867604_road,66867604,F,Unspecified,Other,
66867598_road,66867598,1,Unspecified,Other,
66870674_road,66870674,6,Unspecified,Platform,
66872123_road,66872123,A,Unspecified,Entrance,
66870677_road,66870677,Q,Unspecified,Stairway,
66867590_road,66867590,D,Unspecified,Mezzanine,
66866103_road,66866103,L,L to 8 Av,Platform,
66867600_road,66867600,6,6 Uptown & The Bronx upper level,Platform,
66861413_road,66861413,A,A to 207 St,Platform,
66862966_road,66862966,A,Unspecified,Mezzanine,
66867601_road,66867601,B,Unspecified,Mezzanine,
66872113_road,66872113,F,F to Jamaica,Platform,
66870503_road,66870503,Long Island Expwy,East/Long Island Bound,21 St / Long Is City (NY 25A) (Exit 14) - Brooklyn-Queens Expwy Staten Island Bronx (I-278) (Exit 17,Roadway
66867592_road,66867592,F,Unspecified,Mezzanine,
66869081_road,66869081,F,Unspecified,Mezzanine,
66853384_road,66853384,J,Unspecified,Platform,
66857659_road,66857659,R,R W Uptown & Queens,Platform,
66852259_road,66852259,F,Unspecified,Platform,
66858789_road,66858789,F,Unspecified,Passageway,
66858788_road,66858788,F,Unspecified,Passageway,
66858687_road,66858687,Long Island Expwy,East/Long Island Bound,Grand Central Pkwy/VanWyck Expwy(Exit 22 A-E),Ramp
66855496_road,66855496,J,Unspecified,Mezzanine,
66851492_road,66851492,Richmond Pkwy/Korean War Vets,Northbound,Maguire Ave/Foster Rd/Huguenot Ave - Arden Ave/Annadale Rd,Roadway
66858911_road,66858911,Richmond Pkwy/Korean War Vets,Northbound,Arden Ave/Annadale Rd - Richmond Ave,Roadway
66858852_road,66858852,Richmond Pkwy/Korean War Vets,Northbound,Maguire Ave/Foster Rd/Huguenot Ave,Ramp
66857671_road,66857671,J,Unspecified,Mezzanine,
66856541_road,66856541,J,Unspecified,Mezzanine,
66853390_road,66853390,D,D N R to Coney Island - Bay Ridge,Platform,
66858909_road,66858909,Jackie Robinson/Interboro Pkwy,West/Brooklyn Bound,Cypress Hills St (Exit 3) - Cypress Ave Vermont Pl (Exit 2),Roadway
66853389_road,66853389,J,Unspecified,Mezzanine,
66854381_road,66854381,F,Unspecified,Entrance,
66853478_road,66853478,Van Wyck Expwy,South/JFK Airport Bound,College Pt Blvd L I Expwy Eastern L I (Exit 12A),Ramp
66854389_road,66854389,J,Unspecified,Mezzanine,
66852272_road,66852272,R,Unspecified,Passageway,
66856574_road,66856574,Grand Central Pkwy,East/Long Island Bound,Clearview Expwy Bronx Hillside Ave (I-295) (Exit 21),Ramp
66859881_road,66859881,F,Unspecified,Entrance,Allen St & E Houston St
66854380_road,66854380,F,Unspecified,Stairway,
66857668_road,66857668,R,R to Bay Ridge - 95 St,Platform,
66855472_road,66855472,Belt Pkwy,East/Queens Bound,Ocean Pkwy (Exit 7),Ramp
66859862_road,66859862,Belt Pkwy,East/Queens Bound,Ocean Pkwy (Exit 7),Ramp
66856630_road,66856630,BQE/Gowanus Expwy,West/Staten Island Bound,Meeker Ave/Morgan Aves (Exit 34),Ramp
66859997_road,66859997,BQE/Gowanus Expwy,West/Staten Island Bound,Meeker Ave/Morgan Aves (Exit 34),Ramp
66854386_road,66854386,A,Unspecified,Mezzanine,
66852391_road,66852391,Long Island Expwy,West/Manhattan Bound,Utopia Pkwy 164 St (Exit 25) - Kissena Blvd (Exit 24),Roadway
66854390_road,66854390,B,Unspecified,Mezzanine,
66855485_road,66855485,F,Unspecified,Mezzanine,
66857660_road,66857660,F,Unspecified,Mezzanine,
66854388_road,66854388,B,Unspecified,Mezzanine,
66855495_road,66855495,Q,Unspecified,Mezzanine,
66854276_road,66854276,Hutchinson River Pkwy,South/Queens Bound,Orchard Beach City Island (Exit 5) - Baychester Ave (Exit 4B),Roadway
66859883_road,66859883,G,G to Queens,Platform,
66854359_road,66854359,Whitestone Expwy,North/Bronx Bound,20 Ave (Exit 15) - Cross Is Pkwy (Exit 16),Roadway
66857669_road,66857669,N,Unspecified,Entrance,Ave O & W 7 St
66857670_road,66857670,J,Unspecified,Mezzanine,
66858796_road,66858796,2,Unspecified,Stairway,
66859882_road,66859882,F,F platform,Platform,
66857658_road,66857658,F,Unspecified,Mezzanine,
66858853_road,66858853,Whitestone Expwy,North/Bronx Bound,Willis Ave Br Deegan Expway (Exit 18) - E. 125th St (Exit 19),Roadway
66842935_road,66842935,6,Unspecified,Platform,
66844173_road,66844173,BQE/Gowanus Expwy,East/Queens Bound,Atlantic Ave (Exit 27) - Cadman Plaza West (Exit 28A),Roadway
66850010_road,66850010,A,Unspecified,Entrance,Fort Washington Av & W 181 St
66850009_road,66850009,4,Unspecified,Mezzanine,
66842934_road,66842934,F,F Downtown & Brooklyn,Platform,
66845309_road,66845309,D,Unspecified,Passageway,
66846424_road,66846424,R,Unspecified,Entrance,
66844118_road,66844118,F,Unspecified,Other,
66851192_road,66851192,R,Unspecified,Entrance,
66844217_road,66844217,Hutchinson River Pkwy,North/Westchester County Bound,Orchard Beach/City Island (Exit 5),Ramp
66844112_road,66844112,1,Unspecified,Entrance,"WTC / PATH (north end, lower level)"
66851200_road,66851200,J,Unspecified,Mezzanine,
66846413_road,66846413,Q,Unspecified,Entrance,E 83 St & 2 Av
66847612_road,66847612,R,Unspecified,Stairway,
66844113_road,66844113,R,Unspecified,Mezzanine,
66851249_road,66851249,Belt Pkwy,East/Queens Bound,Coney Island Ave (Exit 8) - Knapp St Sheepshead Bay (Exits 9A),Roadway
66851194_road,66851194,1,1 Uptown & The Bronx,Platform,
66845292_road,66845292,B,Unspecified,Entrance,
66846425_road,66846425,D,Unspecified,Platform,
66845307_road,66845307,4,Unspecified,Entrance,
66844087_road,66844087,Major Deegan Expwy,South/Toward Triborough Br,E 153 St River Ave (Exit 6),Ramp
66848786_road,66848786,Bronx River Pkwy,North/Westchester County Bound,Allerton Ave (Exit 8E) - Mosholu Pkwy (Exit 8W),Roadway
66844218_road,66844218,BQE/Gowanus Expwy,West/Staten Island Bound,Meeker Ave/Morgan Aves (Exit 34),Ramp
66847613_road,66847613,J,Unspecified,Mezzanine,
66850012_road,66850012,A,Unspecified,Passageway,
66851193_road,66851193,L,Unspecified,Platform,
66848784_road,66848784,B,Unspecified,Entrance,DeKalb Av & Flatbush Av Ext.
66845306_road,66845306,L,Unspecified,Entrance,Grand St & Bushwick Av to Canarsie - Roc
66848797_road,66848797,L,Unspecified,Entrance,Grand St & Bushwick Av to Canarsie - Roc
66850008_road,66850008,L,Unspecified,Entrance,
66841986_road,66841986,FDR Southbound,South Bound,,
66844114_road,66844114,F,Unspecified,Other,
66845308_road,66845308,Q,Unspecified,Entrance,
66849992_road,66849992,Belt Pkwy,East/Queens Bound,Ocean Pkwy (Exit 7),Ramp
66849993_road,66849993,Belt Pkwy,East/Queens Bound,Ocean Pkwy (Exit 7),Ramp
66842938_road,66842938,4,Unspecified,Stairway,
66850011_road,66850011,F,Unspecified,Other,
66851201_road,66851201,J,Unspecified,Mezzanine,
66843039_road,66843039,Belt Pkwy,East/Long Island Bound,Southern State Pkwy Eastern L I (Exit 25A),Ramp
66846422_road,66846422,Major Deegan Expwy,South/Toward Triborough Br,E 153 St River Ave (Exit 6),Ramp
66851195_road,66851195,F,Unspecified,Mezzanine,
66846402_road,66846402,FDR Dr,Northbound/Uptown,Entrance FDR Dr,Ramp
66845283_road,66845283,FDR Dr,Northbound/Uptown,Entrance FDR Dr,Ramp
66851166_road,66851166,FDR Dr,Northbound/Uptown,Entrance FDR Dr,Ramp
66845311_road,66845311,C,B C Uptown & The Bronx,Platform,
66844098_road,66844098,1,1 Uptown & The Bronx,Platform,
66845293_road,66845293,F,Unspecified,Mezzanine,
66842784_road,66842784,Major Deegan Expwy,North/Westchester County Bound,W Fordham Rd Univ Hts Br (Exit 9) - W 230 St (Exit 10),Roadway
66845296_road,66845296,D,B D to The Bronx,Platform,
66848783_road,66848783,D,B D to The Bronx,Platform,
66847606_road,66847606,F,Unspecified,Mezzanine,
66841784_road,66841784,F,Unspecified,Mezzanine,
66839039_road,66839039,B,Unspecified,Entrance,
66840432_road,66840432,F,Unspecified,Mezzanine,
66841795_road,66841795,L,L platform,Platform,
66839046_road,66839046,L,Unspecified,Mezzanine,
66841779_road,66841779,F,Unspecified,Other,
66839099_road,66839099,Cross Island Pkwy,South/Long Island Bound,Jamaica Ave Jericho Tpke (Exit 27E),Ramp
66836214_road,66836214,C,B C Downtown & Brooklyn,Platform,
66837628_road,66837628,C,B C Downtown & Brooklyn,Platform,
66837700_road,66837700,Van Wyck Expwy,North/Bronx Bound,Linden Blvd (Exit 3) - Liberty Ave (Exit 4),Roadway
66833955_road,66833955,Richmond Pkwy/Korean War Vets,South/New Jersey Bound,Arden Ave - Huguenot Ave Foster Rd,Roadway
66839414_road,66839414,Richmond Pkwy/Korean War Vets,Northbound,Maguire Ave/Foster Rd/Huguenot Ave - Arden Ave/Annadale Rd,Roadway
66839029_road,66839029,3,3 Downtown & Brooklyn,Platform,
66832176_road,66832176,R,Unspecified,Stairway,
66834858_road,66834858,R,Unspecified,Stairway,
66839030_road,66839030,M,Unspecified,Stairway,
66840440_road,66840440,M,Unspecified,Stairway,
66834859_road,66834859,C,B C Downtown & Brooklyn,Platform,
66833570_road,66833570,J,Unspecified,Stairway,
66833794_road,66833794,Bruckner Expwy,North/Eastbound,White Plains Rd Castle Hill Ave (Exit 53) - Whitestone Br/South Throgs Neck Br (Exit 54),Roadway
66833551_road,66833551,B,Unspecified,Platform,
66834867_road,66834867,B,Unspecified,Platform,
66832186_road,66832186,Q,Q to Manhattan,Platform,
66841860_road,66841860,Richmond Pkwy/Korean War Vets,South/New Jersey Bound,Maguire Ave/Bloomingdale Rd/Arthur Kill Rd - West Shore Expwy(NY 440),Roadway
66836223_road,66836223,6,Unspecified,Passageway,
66836373_road,66836373,Staten Island Expwy,Westbound/To Goethals Br,Narrows Rd Fingerboard Rd (Exit 15W) - Hylan Blvd (Exit 14),Roadway
66834866_road,66834866,FDR Dr,Northbound/Uptown,E 34 St Midtown Tun (Exit 8) - E 42 St (Exit 9),Roadway
66840447_road,66840447,J,Unspecified,Mezzanine,
66832339_road,66832339,Long Island Expwy,West/Manhattan Bound,Main St (Exit 23),Ramp
66833550_road,66833550,Q,Unspecified,Entrance,DeKalb Av & Flatbush Av Ext.
66841780_road,66841780,R,Unspecified,Entrance,DeKalb Av & Flatbush Av Ext.
66832184_road,66832184,F,Unspecified,Mezzanine,
66834857_road,66834857,C,B C Downtown & Brooklyn,Platform,
66834951_road,66834951,Richmond Pkwy/Korean War Vets,South/New Jersey Bound,Huguenot Ave Foster Rd - Maguire Ave/Bloomingdale Rd/Arthur Kill Rd,Roadway
66841794_road,66841794,4,Unspecified,Mezzanine,
66840380_road,66840380,Van Wyck Expwy,North/Bronx Bound,Entrance Van Wyck Expwy,Ramp
66833569_road,66833569,F,F platform,Platform,
66833717_road,66833717,Cross Island Pkwy,North/Bronx Bound,END Cross Island Pkwy,Ramp
66840433_road,66840433,7,Unspecified,Other,
66837783_road,66837783,West Shore Expwy,Northbound,South Ave (Exit 8),Ramp
66837640_road,66837640,F,Unspecified,Passageway,
66839105_road,66839105,Belt Pkwy,East/Queens Bound,Coney Island Ave (Exit 8) - Knapp St Sheepshead Bay (Exits 9A),Roadway
66838895_road,66838895,Cross Bronx Expwy,South/East (To Throgs Neck Br),Third Ave (Exit 3),Ramp
66840434_road,66840434,C,Unspecified,Platform,
66833567_road,66833567,L,Unspecified,Platform,
66837641_road,66837641,1,Unspecified,Passageway,
66837633_road,66837633,Long Island Expwy,West/Manhattan Bound,Bklyn-Queens Expwy Brooklyn 48 St (I-278) (Exit 17W) - Greenpoint Ave (Exit 16),Roadway
66832167_road,66832167,R,Unspecified,Entrance,DeKalb Av & Flatbush Av Ext.
66841859_road,66841859,FDR Dr,Northbound/Uptown,E 34 St Midtown Tun (Exit 8) - E 42 St (Exit 9),Roadway
66834953_road,66834953,Harlem River Dr,North/Bronx Bound,G Washington Br Amsterdam Ave W 179 St. (Exit 24) - Dyckman St 10th Ave,Roadway
66841796_road,66841796,A,Unspecified,Stairway,
66836224_road,66836224,C,Unspecified,Platform,
66833565_road,66833565,D,B D Uptown & The Bronx,Platform,
66835036_road,66835036,Queensboro/59th St Br,Queens Bound,Lower Level,Roadway
66841793_road,66841793,L,L to Brooklyn,Platform,
66837642_road,66837642,D,Unspecified,Entrance,
66836204_road,66836204,F,Unspecified,Mezzanine,
66832183_road,66832183,C,C E Downtown & Brooklyn,Platform,
66833553_road,66833553,1,1 Downtown,Platform,
66840446_road,66840446,D,Unspecified,Mezzanine,
66835119_road,66835119,FDR Dr,Northbound/Uptown,E 20 St - E 23 St (Exit 7) - E 34 St Midtown Tun(Exit 8),Roadway
66836222_road,66836222,F,Unspecified,Entrance,144 St & Hillside Av
66834874_road,66834874,2,Unspecified,Other,
66840431_road,66840431,J,Unspecified,Entrance,Essex St & Delancey St South side
66833566_road,66833566,J,J M Z to Broad St (JZ) Uptown (M),Platform,
66836225_road,66836225,D,Unspecified,Mezzanine,
66837643_road,66837643,D,Unspecified,Entrance,175 St & Grand Concourse
66832166_road,66832166,B,Unspecified,Platform,
66840435_road,66840435,J,Unspecified,Stairway,
66836205_road,66836205,J,J M Z to Broad St (JZ) Uptown (M),Platform,
66833552_road,66833552,F,Unspecified,Mezzanine,
66833549_road,66833549,J,J M Z to Broad St (JZ) Uptown (M),Platform,
66839031_road,66839031,J,Unspecified,Stairway,
66825124_road,66825124,2,Unspecified,Mezzanine,
66822200_road,66822200,F,B D F M Downtown & Brooklyn,Platform,
66827897_road,66827897,J,Unspecified,Mezzanine,
66822214_road,66822214,J,Unspecified,Mezzanine,
66825103_road,66825103,J,Unspecified,Entrance,Essex St & Delancey St South side
66823680_road,66823680,F,Unspecified,Platform,
66829352_road,66829352,Q,Unspecified,Entrance,E 83 St & 2 Av
66823694_road,66823694,1,Unspecified,Platform,
66823697_road,66823697,1,1 2 3 Downtown & Brooklyn,Platform,
66825125_road,66825125,R,Unspecified,Stairway,
66827899_road,66827899,Q,Unspecified,Entrance,E 83 St & 2 Av
66829344_road,66829344,D,Unspecified,Mezzanine,
66820796_road,66820796,M,Unspecified,Entrance,42 St & 6 Av SE corner
66829329_road,66829329,C,Unspecified,Platform,
66830777_road,66830777,F,Unspecified,Entrance,
66829350_road,66829350,Staten Island Railway,SIR to Tottenville,Platform,
66826507_road,66826507,5,Unspecified,Entrance,E 86 St & Lexington Av to Uptown & The B
66826508_road,66826508,E,Unspecified,Passageway,
66819587_road,66819587,West Street,North Bound,,
66829347_road,66829347,A,Unspecified,Entrance,
66820800_road,66820800,Staten Island Railway,Unspecified,Entrance,Annadale Rd & Belfield Av to Tottenville
66830778_road,66830778,J,Unspecified,Mezzanine,
66826486_road,66826486,3,3 Downtown & Brooklyn,Platform,
66822332_road,66822332,BQE/Gowanus Expwy,West/Brooklyn Bound,Queens Blvd 58 St (NY 25) (Exit 39E) - Queens Blvd (NY 25) (Exit 39W),Roadway
66822212_road,66822212,F,Unspecified,Mezzanine,
66822357_road,66822357,Belt Pkwy,East/Long Island Bound,Farmers Blvd. (Exit 21B) - Springfield Blvd. (Exit 22),Roadway
66829182_road,66829182,Van Wyck Expwy,South/JFK Airport Bound,Van Wyck Service Roads,Ramp
66825129_road,66825129,6,Unspecified,Other,
66825504_road,66825504,Long Island Expwy,West/Manhattan Bound,Cross Island Pkwy (Exit 30 S-N),Ramp
66827894_road,66827894,6,6 Uptown & The Bronx,Platform,
66826752_road,66826752,Grand Central Pkwy,East/Long Island Bound,31st (Exit 3) - Brooklyn-Queens Expwy (I-278) (Exit 4),Roadway
66827896_road,66827896,J,Unspecified,Mezzanine,
66826502_road,66826502,1,Unspecified,Passageway,
66823698_road,66823698,B,B D F M Downtown & Brooklyn,Platform,
66820790_road,66820790,B,B C Downtown & Brooklyn,Platform,
66827879_road,66827879,B,B C Downtown & Brooklyn,Platform,
66822210_road,66822210,A,Unspecified,Passageway,
66823762_road,66823762,FDR Dr,Northbound/Uptown,E 42 St (Exit 9) - E 61 St Ed Kock Queensboro Br (Exit 12),Roadway
66830780_road,66830780,E,Unspecified,Entrance,75 Av & Queens Blvd
66828266_road,66828266,Long Island Expwy,East/Long Island Bound,21 St / Long Is City (NY 25A) (Exit 14) - Brooklyn-Queens Expwy Staten Island Bronx (I-278) (Exit 17,Roadway
66826506_road,66826506,3,Unspecified,Stairway,
66823696_road,66823696,B,Unspecified,Passageway,
66820943_road,66820943,Richmond Pkwy/Korean War Vets,Northbound,Maguire Ave/Foster Rd/Huguenot Ave - Arden Ave/Annadale Rd,Roadway
66830779_road,66830779,F,Unspecified,Entrance,75 Av & Queens Blvd
66827881_road,66827881,A,Unspecified,Stairway,
66827893_road,66827893,1,1 Uptown & The Bronx,Platform,
66826664_road,66826664,Prospect Expwy,Westbound/To BQE,Long Island Expwy (I-495) /Midtown Tunnel Eastern Long Is/Greenpoint Ave (Exit 35) - Kosciuszko Br (,Roadway
66822211_road,66822211,R,M R to Manhattan,Platform,
66826503_road,66826503,M,Unspecified,Mezzanine,
66820787_road,66820787,C,Unspecified,Platform,
66830775_road,66830775,6,Unspecified,Entrance,E 59 St & Lexington Av East/Uptown side
66830924_road,66830924,West Shore Expwy,Northbound,Arthur Kill Rd Huguenot Ave (Exit 4) - Victory Blvd (Exit 7),Roadway
66821226_road,66821226,Richmond Pkwy/Korean War Vets,South/New Jersey Bound,Arden Ave - Huguenot Ave Foster Rd,Roadway
66823830_road,66823830,Richmond Pkwy/Korean War Vets,South/New Jersey Bound,Begin Korean War Vets Pkwy/Arthur Kill Rd - Arden Ave/Albee Ave,Roadway
66822484_road,66822484,BQE/Gowanus Expwy,West/Staten Island Bound,Wythe Ave/Kent Ave (Exit 31),Ramp
66823681_road,66823681,R,M R to Manhattan,Platform,
66829346_road,66829346,6,Unspecified,Platform,
66826504_road,66826504,6,Unspecified,Mezzanine,
66826487_road,66826487,F,F platform,Platform,
66825102_road,66825102,1,1 Downtown,Platform,
66829328_road,66829328,1,1 Downtown,Platform,
66825104_road,66825104,F,F Downtown & Brooklyn,Platform,
66825101_road,66825101,F,Unspecified,Mezzanine,
66827882_road,66827882,J,Unspecified,Platform,
66829330_road,66829330,6,6 Uptown & The Bronx,Platform,
66827880_road,66827880,6,Unspecified,Mezzanine,
66810630_road,66810630,F,Unspecified,Mezzanine,
66815812_road,66815812,F,Unspecified,Other,
66812348_road,66812348,D,Unspecified,Mezzanine,
66815802_road,66815802,F,Unspecified,Platform,
66819352_road,66819352,F,Unspecified,Mezzanine,
66808813_road,66808813,J,Unspecified,Entrance,Essex St & Delancey St South side
66819298_road,66819298,BQE/Gowanus Expwy,East/Queens Bound,Metropolitan Ave Williamsburg Br (Exit 32) - McGuinness Blvd / Humboldt St (Exit 33),Roadway
66812430_road,66812430,Jackie Robinson/Interboro Pkwy,West/Brooklyn Bound,Metropolitan Ave (Exit 6) - Forest Park Dr Myrtle Ave Woodhaven Blvd (Exit 4),Roadway
66807075_road,66807075,F,Unspecified,Mezzanine,
66817738_road,66817738,Richmond Pkwy/Korean War Vets,South/New Jersey Bound,Begin Korean War Vets Pkwy/Arthur Kill Rd - Arden Ave/Albee Ave,Roadway
66815968_road,66815968,Richmond Pkwy/Korean War Vets,Northbound,Maguire Ave/Foster Rd/Huguenot Ave - Arden Ave/Annadale Rd,Roadway
66819368_road,66819368,Q,Unspecified,Mezzanine,
66819364_road,66819364,7,Unspecified,Entrance,46 St & Queens Blvd North side
66816056_road,66816056,BQE/Gowanus Expwy,East/Queens Bound,Brooklyn Br (Exit 28B) - Manhattan Br (Exit 29A),Roadway
66817635_road,66817635,Henry Hudson Pkwy/Rt 9A,South/Downtown,W 125 St (Exit 12) - W 95 St (Exit 11),Roadway
66814169_road,66814169,FDR Dr,Northbound/Uptown,E 42 St (Exit 9) - E 61 St Ed Kock Queensboro Br (Exit 12),Roadway
66817597_road,66817597,E,E F to Jamaica,Platform,
66819365_road,66819365,3,3 to New Lots,Platform,
66807034_road,66807034,Belt Pkwy,West/Staten Island Bound,Flatbush Ave (Exit 11N),Ramp
66812357_road,66812357,R,R to Bay Ridge - 95 St,Platform,
66814108_road,66814108,D,Unspecified,Mezzanine,
66819431_road,66819431,Long Island Expwy,East/Long Island Bound,Springfield Blvd (Exit 29) East hampton Blvd Douglaston Pkwy (Exit 30),Roadway
66812358_road,66812358,1,Unspecified,Other,
66812431_road,66812431,Long Island Expwy,West/Manhattan Bound,Clearview Expwy Bronx Grand Central Pkwy(I-295) (Exit 27 S-N),Ramp
66814097_road,66814097,C,B C Downtown & Brooklyn,Platform,
66817590_road,66817590,A,Unspecified,Passageway,
66814106_road,66814106,5,Unspecified,Other,
66817592_road,66817592,A,A to 207 St,Platform,
66817576_road,66817576,Q,Unspecified,Entrance,
66807165_road,66807165,Clearview Expwy,Southbound,35 Ave (Exit 6A) - Northern Blvd (Exit 5),Roadway
66817822_road,66817822,Major Deegan Expwy,North/Westchester County Bound,Willis Ave Third Ave Br (Exit 2) - Grand Concourse E 138 St (Exit 3),Roadway
66817596_road,66817596,Q,Unspecified,Entrance,E 72 St & 2 Av
66809280_road,66809280,BQE/Gowanus Expwy,West/Staten Island Bound,Kosciuszko Br (from Queens) - Meeker Ave / Morgan Aves (Exit 34),Roadway
66808811_road,66808811,Q,Unspecified,Entrance,7 Av & W 55 St
66817582_road,66817582,Q,Unspecified,Entrance,7 Av & W 55 St
66812172_road,66812172,FDR Dr,Northbound/Uptown,E 20 St - E 23 St (Exit 7) - E 34 St Midtown Tun(Exit 8),Roadway
66812364_road,66812364,6,6 Uptown & The Bronx,Platform,
66817594_road,66817594,J,Unspecified,Mezzanine,
66812505_road,66812505,Bronx River Pkwy,Southbound,East 233 St (Exit 10) - Gun Hill Road (Exit 9),Roadway
66817591_road,66817591,F,Unspecified,Passageway,
66810699_road,66810699,BQE/Gowanus Expwy,East/Queens Bound,McGuinness Blvd / Humboldt St (Exit 33) - Kosciuszko Br (to Queens),Roadway
66812334_road,66812334,Major Deegan Expwy,South/Toward Triborough Br,E 153 St River Ave (Exit 6),Ramp
66814084_road,66814084,Major Deegan Expwy,South/Toward Triborough Br,E 153 St River Ave (Exit 6),Ramp
66808825_road,66808825,1,Unspecified,Platform,
66807091_road,66807091,M,Unspecified,Platform,
66819366_road,66819366,Q,Unspecified,Platform,
66810618_road,66810618,C,Unspecified,Platform,
66815789_road,66815789,Belt Pkwy,East/Queens Bound,Ocean Pkwy (Exit 7),Ramp
66815790_road,66815790,Belt Pkwy,East/Queens Bound,Ocean Pkwy (Exit 7),Ramp
66819430_road,66819430,FDR Dr,Northbound/Uptown,E 34 St Midtown Tun (Exit 8) - E 42 St (Exit 9),Roadway
66807090_road,66807090,1,1 Uptown & The Bronx,Platform,
66808824_road,66808824,6,Unspecified,Stairway,
66810638_road,66810638,C,Unspecified,Mezzanine,
66819367_road,66819367,A,Unspecified,Stairway,
66810616_road,66810616,2,Unspecified,Entrance,Duffiled St & Fulton St
66814168_road,66814168,Long Island Expwy,West/Manhattan Bound,Junction Blvd (Exit 20) - Queens Blvd (NY 25) / Woodhaven Blvd (Exit 19),Roadway
66807166_road,66807166,Long Island Expwy,East/Long Island Bound,108 St (Exit 21) - Grand Central Pkwy / Van Wyck Expwy (Exit 22 A-E),Roadway
66810619_road,66810619,6,6 Downtown,Platform,
66810617_road,66810617,C,Unspecified,Platform,
66814096_road,66814096,R,Unspecified,Mezzanine,
66807074_road,66807074,F,Unspecified,Stairway,
66814098_road,66814098,F,Unspecified,Other,
66808812_road,66808812,1,1 Downtown,Platform,
66819354_road,66819354,N,Unspecified,Mezzanine,
66808826_road,66808826,6,6 Uptown & The Bronx upper level,Platform,
66815969_road,66815969,Jackie Robinson/Interboro Pkwy,Eastbound,Cypress Ave Vermont Pl (Exit 2),Ramp
66808991_road,66808991,Brooklyn Br,Manhattan Bound,Ramp,Ramp
66815803_road,66815803,1,Unspecified,Platform,
66808827_road,66808827,2,Unspecified,Entrance,William St (midblock between John St and
66815805_road,66815805,R,R W Uptown & Queens,Platform,
66815804_road,66815804,F,Unspecified,Platform,
66819353_road,66819353,J,Unspecified,Mezzanine,
66805305_road,66805305,R,Unspecified,Mezzanine,
66803679_road,66803679,R,Unspecified,Mezzanine,
66805294_road,66805294,N,Unspecified,Mezzanine,
66797240_road,66797240,J,Unspecified,Mezzanine,
66803683_road,66803683,J,Unspecified,Mezzanine,
66794006_road,66794006,M,Unspecified,Entrance,
66803674_road,66803674,B,Unspecified,Entrance,
66802066_road,66802066,7,Unspecified,Platform,
66805357_road,66805357,Cross Island Pkwy,North/Bronx Bound,Hempstead Ave Belmost Racetrack (NY 24) (Exit 26 B) - Nassau County Boundary,Roadway
66794005_road,66794005,7,Unspecified,Passageway,
66795649_road,66795649,6,Unspecified,Mezzanine,
66802068_road,66802068,B,Unspecified,Entrance,
66795780_road,66795780,Grand Central Pkwy,West/Toward RFK Triborough Bridge,Northern Blvd (NY25A) (Exit 9W) - La Guardia Airport 94 St (Exit 7),Roadway
66797355_road,66797355,Whitestone Expwy,Southbound,Linden Pl (Exit 14) - Northern Blvd Citi Field (NY 25A) (Exit 13D),Roadway
66800622_road,66800622,Grand Central Pkwy,East/Long Island Bound,Whitestone Expwy Northern Blvd (I-678) (Exit 9E) - Long Island Expwy Manhattan Eastern Long Is (I-49,Roadway
66794127_road,66794127,Grand Central Pkwy,East/Long Island Bound,Whitestone Expwy Northern Blvd (I-678) (Exit 9E) - Long Island Expwy Manhattan Eastern Long Is (I-49,Roadway
66805431_road,66805431,Long Island Expwy,West/Manhattan Bound,Utopia Pkwy 164 St (Exit 25) - Kissena Blvd (Exit 24),Roadway
66805430_road,66805430,Long Island Expwy,East/Long Island Bound,Main St (Exit 23) - Kissena Blvd (Exit 24),Roadway
66794125_road,66794125,Long Island Expwy,East/Long Island Bound,Main St (Exit 23) - Kissena Blvd (Exit 24),Roadway
66794007_road,66794007,L,Unspecified,Entrance,Starr St & Wyckoff Av
66802067_road,66802067,E,Unspecified,Mezzanine,
66803872_road,66803872,Bruckner Expwy,North/Eastbound,Bronx River Pkwy White Plains (Exit 52),Ramp
66795637_road,66795637,C,B C Downtown & Brooklyn,Platform,
66805306_road,66805306,C,B C Downtown & Brooklyn,Platform,
66802069_road,66802069,D,Unspecified,Entrance,DeKalb Av & Flatbush Av Ext.
66794128_road,66794128,Harlem River Dr,South/Downtown,5 Ave W 142 St (Exit 22),Ramp
66797281_road,66797281,BQE/Gowanus Expwy,East/Queens Bound,Metropolitan Ave Williamsburg Br (Exit 32) - McGuinness Blvd / Humboldt St (Exit 33),Roadway
66802210_road,66802210,Cross Island Pkwy,North/Bronx Bound,Hempstead Ave Belmost Racetrack (NY 24) (Exit 26 B) - Nassau County Boundary,Roadway
66793975_road,66793975,Major Deegan Expwy,North/Westchester County Bound,Entrance Major Deegan Expwy,Ramp
66802085_road,66802085,6,Unspecified,Other,
66797230_road,66797230,B,Unspecified,Entrance,57 St & 8 Av SW corner / Turnstyles
66798683_road,66798683,FDR Dr,Northbound/Uptown,E 34 St Midtown Tun (Exit 8) - E 42 St (Exit 9),Roadway
