taxi_id,unique_key,taxi_company_borough,taxi_pick_up_location
66728077_taxi,66728077,Unspecified,"750 1 AVENUE, MANHATTAN (NEW YORK), NY, 10017"
66727949_taxi,66727949,Unspecified,"204-15 FOOTHILL AVENUE, QUEENS (HOLLIS), NY, 11423"
66721748_taxi,66721748,Unspecified,"570 1 AVENUE, MANHATTAN (NEW YORK), NY, 10016"
66726810_taxi,66726810,Unspecified,"570 1 AVENUE, MANHATTAN (NEW YORK), NY, 10016"
66720501_taxi,66720501,Unspecified,"350 EAST   39 STREET, MANHATTAN (NEW YORK), NY, 10016"
66719207_taxi,66719207,Unspecified,"707 1 AVENUE, MANHATTAN (NEW YORK), NY, 10017"
66725542_taxi,66725542,Unspecified,"750 1 AVENUE, MANHATTAN (NEW YORK), NY, 10017"
66724262_taxi,66724262,Unspecified,"750 1 AVENUE, MANHATTAN (NEW YORK), NY, 10017"
66721614_taxi,66721614,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66721745_taxi,66721745,Unspecified,"297 WILSON AVENUE, BROOKLYN, NY, 11237"
66722861_taxi,66722861,Unspecified,"935 8 AVENUE, MANHATTAN (NEW YORK), NY, 10019"
66720503_taxi,66720503,Unspecified,"12 EAST   24 STREET, MANHATTAN (NEW YORK), NY, 10010"
66719210_taxi,66719210,Unspecified,"257 WEST   30 STREET, MANHATTAN (NEW YORK), NY, 10001"
66726734_taxi,66726734,Unspecified,"2 AVENUE AND EAST   95 STREET, MANHATTAN, NY, 10128"
66724265_taxi,66724265,Unspecified,"1114 1 AVENUE, MANHATTAN (NEW YORK), NY, 10065"
66720375_taxi,66720375,Unspecified,"122 EAST   41 STREET, MANHATTAN (NEW YORK), NY, 10017"
66721749_taxi,66721749,Unspecified,"1576 1 AVENUE, MANHATTAN (NEW YORK), NY, 10028"
66720373_taxi,66720373,Unspecified,"LA GUARDIA AIRPORT, QUEENS (EAST ELMHURST) ,NY, 11369"
66721652_taxi,66721652,Unspecified,"2857 WHITE PLAINS ROAD, BRONX, NY, 10467"
66722916_taxi,66722916,Unspecified,"92 STREET AND ROCKAWAY BOULEVARD, QUEENS, NY, 11417"
66721677_taxi,66721677,Unspecified,"AMSTERDAM AVENUE AND WEST   80 STREET, MANHATTAN, NY, 10024"
